Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav ","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast",,Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,,Pregnancy status,,Fetus length from nose to tail,Fetus crown-rump length
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder (formel),Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump
1996,19960425,4,A1996/05059,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, nät",I,EÖ,x,03/05/1996,42.5,120,42,,,,,,,,,,
1996,19960403,4,A1996/05062,#N/A,Gråsäl,Hane,Strandad,Skjuten,Y,BH,x,19960510,16.5,92,25,,,,,,,,,,
1996,19960521,5,A1996/05067,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, nät",X,BH,x,19960523,44.0,123,41,,,,,,,,,,
1996,19960528,5,A1996/05068,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, piggvarnät",AB,EÖ,x,19960529,44.0,121,37,,0,0,,,,Juvenil,,,
1996,19960523,5,A1996/05072,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, piggvarnät",I,EÖ,x,19960530,37.0,121,35,,,,,,,,,,
1996,19960523,5,A1996/05073,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, piggvarnät",I,EÖ,x,19960530,32.0,114,30,,0,0,,,,Juvenil,,,
1996,19960523,5,A1996/05074,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, piggvarnät",I,EÖ,x,19960530,29.0,105,35,,0,0,,,,Juvenil,,,
1996,19960605,6,A1996/05086,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, piggvarnät",I,EÖ,x,19960612,42.0,121,38,Juvenil,0,0,,,,Juvenil,,,
1996,19960607,6,A1996/05087,#N/A,Gråsäl,Hane,Strandad,Svält,I,EÖ,0,19960612,,,9,,,,,,,,,,
1996,19960608,6,A1996/05088,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siknät",X,BH,x,19960613,28.5,109,17,,,,,,,,,,
1996,19960612,6,A1996/05089,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, storryssja",X,BH,x,19960614,148.0,195,38,,,,,,,,,,
1996,19960627,6,A1996/05098,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, nät",Y,BH,x,19960725,19.7,98,12,,,,,,,,,,
1996,19960628,6,A1996/05100,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, flundregarn",K,EÖ,x,19960626,46.0,123,41,,0,0,,,,Juvenil,,,
1996,19960811,8,A1996/05114,#N/A,Gråsäl,Hane,Fiskeredskap,Drunkning,D,EÖ,x,19960813,79.0,169,23,,,,,,,,,,
1996,19960811,8,A1996/05115,#N/A,Gråsäl,Hane,Strandad,tarmperforation,AB,EÖ,x,19960814,96.0,187,9,,,,,,,,,,
1996,19960930,9,A1996/05127,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, bottengarn",D,EÖ,x,19961002,160.0,196,50,,,,,,,,,,
1996,19961007,10,A1996/05132,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, sikryssja",AC,BV,x,19961008,126.0,179,41,,,,,,,,,,
1996,19961007,10,A1996/05133,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, sikryssja",AC,BV,x,19961009,85.0,167,27,,,,,,,,,,
1996,19961007,10,A1996/05134,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, sikryssja",AC,BV,x,19961009,92.0,178,30,,,,,,,,,,
1996,19961012,10,A1996/05137,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjetrål",BD,BV,x,19961017,117.0,169,42,Dräktig,0,x,,,Ja,Dräktig,,35.5,
1996,19961012,10,A1996/05141,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siklöjetrål",BD,BV,x,19961018,94.0,170,35,,,,,,,,,,
1996,19961008,10,A1996/05142,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siknät",X,BH,x,19961021,92.0,165,40,,,,,,,,,,
1996,19961017,10,A1996/05143,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, laxgarn",C,BH,x,19961022,49.5,124,28,Juvenil,0,0,,,,Juvenil,,,
1996,19961021,10,A1996/05144,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, laxnät",Y,BH,x,19961023,84.0,160,30,,,,,,,,,,
1996,19961020,10,A1996/05146,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",H,EÖ,x,19961023,112.0,173,43,,,,,,,,,,
1996,19961018,10,A1996/05149,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, ålbottengarn",E,EÖ,x,19961024,57.0,142,28,,0,0,,,,Juvenil,,,
1996,19961018,10,A1996/05150,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",E,EÖ,x,19961024,78.0,150,30,,,,,,,,,,
1996,19961019,10,A1996/05151,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961025,155.0,192,50,,,,,,,,,,
1996,19961019,10,A1996/05152,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961026,67.0,147,30,Juvenil,0,0,,,,,,,
1996,19961023,10,A1996/05155,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, torsknät",AB,EÖ,x,19961026,43.0,127,32,,,,,,,,,,
1996,19961025,10,A1996/05156,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961031,174.0,169,50,Dräktig,0,x,,,Ja,Dräktig,,39.5,
1996,19961101,11,A1996/05159,#N/A,Gråsäl,Hane,Strandad,"magsår, hårtovor","Lycksele djurpark, född på skansen",,x,19961106,56.0,161,10,,,,,,,,,,
1996,19961101,11,A1996/05160,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961107,142.0,170,50,Dräktig,0,x,,,Ja,Dräktig,,44.5,
1996,19961103,11,A1996/05162,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961108,126.0,170,45,Dräktig,0,x,,,Ja,Dräktig,,47.5,
1996,19961103,11,A1996/05163,#N/A,Gråsäl,Hane,,,BD,BV,,,2.193,48,,,,,,,,,,,
1996,19961104,11,A1996/05164,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, ålbottengarn",H,EÖ,x,19961111,68.0,149,33,,,,,,,,,,
1996,19961104,11,A1996/05166,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961112,78.0,154,30,,,,,,,,,,
1996,19961104,11,A1996/05167,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961112,64.0,147,30,,,,,,,,,,
1996,19961108,11,A1996/05171,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siklöjeryssja",BD,BV,x,19961118,144.0,203,42,,,,,,,,,,
1996,19961118,11,A1996/05176,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, ålbottengarn",E,EÖ,,19961125,50.0,132,32,juvenil,,0,Nej,,,Juvenil,Juvenil uterus,,
1996,19961118,11,A1996/05177,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, ålbottengarn",E,EÖ,x,19961125,48.0,132,36,juvenil,,0,Nej,,,Juvenil,Juvenil uterus,,
1997,19970223,2,A1997/05045,#N/A,Gråsäl,Hona,Strandad,Perforerat tarmsår. Har setts vid liv 1997-02-22,I,EÖ,0,19970227,60.0,,,,myom,0,,,,,,,
1997,19970321,3,A1997/05078,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, laxgarn",C,BH,x,19970325,54.0,125,38,,,,,,,,,,
1997,19970321,3,A1997/05079,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, laxgarn",C,BH,x,19970325,66.0,128,37,,,,,,,,,,
1997,19970321,3,A1997/05080,#N/A,Gråsäl,Hona,Fiskeredskap,"Drunkning, laxgarn",C,BH,x,19970325,52.5,120,37,,,,,,,,,,
1997,19970321,3,A1997/05081,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, laxgarn",C,BH,x,19970325,92.0,155,35,,,,,,,,,,
1997,19970321,3,A1997/05082,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, laxgarn",C,BH,x,19970325,70.0,131,28,,,,,,,,,,
1997,19970401,4,A1997/05088,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, siknät, 30 ft djup",C,BH,x,19970403,62.0,145,35,,,,,,,,,,
1997,19970416,4,A1997/05119,#N/A,Gråsäl,Hane,Fiskeredskap,"Drunkning, abbornät, 3 m djup",D,EÖ,x,19980827,13.0,88,8,,,,,,,,,,
1997,19970420,4,A1997/05131,#N/A,Gråsäl,Hane,Strandad,"Svält,navelinfl.",AB,EÖ,x,19980827,,94,3,,,,,,,,,,
1997,19970522,5,A1997/05138,#N/A,Gråsäl,Hona,Fiskeredskap,"Avlivad i fiskeredskap, laxnät",C,BH,x,19970626,35.8,113,42,juvenil,0,0,Nej,,,Juvenil,Juvenil uterus,,
1997,19970713,7,A1997/05150,#N/A,Gråsäl,Hane,Jakt,Skjuten,X,BH,x,19970714,148.0,193,32,,,,,,,,,,
1997,19970715,7,A1997/05151,#N/A,Gråsäl,Hane,Jakt,"Skyddsjakt -97, skjuten, funnen senare",X,BH,x,19970715,127.0,205,30,,,,,,,,,,
1997,19970722,7,A1997/05154,#N/A,Gråsäl,Hane,Fiskeredskap,Skjuten i fälla nr 9,X,BH,x,19970723,155.0,188,30,,,,,,,,,,
1997,19970723,7,A1997/05155,#N/A,Gråsäl,Hane,Jakt,"Skjuten i fälla nr 9, skyddsjakt -97, bergad dagen efter",X,BH,x,19970725,82.0,166,30,,,,,,,,,,
1997,19970724,7,A1997/05156,#N/A,Gråsäl,Hane,Jakt,"Skyddsjakt -97, skjuten, bergad av dykare senare",Y,BH,x,19970729,140.0,194,30,,,,,,,,,,
1997,19970731,7,A1997/05160,#N/A,Gråsäl,Hane,Jakt,"Skjuten i laxfälla nr 8, skyddsjakt -97, funnen senare",X,BH,x,19970801,115.0,184,30,,,,,,,,,,
1997,19970807,8,A1997/05166,#N/A,Gråsäl,Hane,Strandad,tarmperforation,Y,BH,x,19971023,60.0,160,13,,,,,,,,,,
