Sam,Collection date,Collection month,Individual ID,Age,Species = grey seal,Sex,How it was found,Cause of death,"County, see https://sv.wikipedia.org/wiki/L%C3%A4nsbokstav","Sea area: BV= Bothnian Bay, BH= Bothnian Sea, EÖ= Main Baltic Proper, VH= Swedish West coast","Body (x), Samples (0)",Autopsy date,Weight,Length,Blubber thickness,Status of the uterus,,Pregnant (x) or not (0),PS,CA,CL,Pregnancy status,,Fetus length nose-tail,Fetus length crown-rump ,
Fyndår,Fynddatum,Fyndmånad,Nr,Ålder ,Art,Kön,Fyndomständighet,Dödsorsak,Län,Havsområde BV BH EÖ VH,Hel kropp 0/x,Undersökningsdatum,Kroppsvikt kg,Kroppslängd cm,Späck (mm),Uterusstatus,Uterus/Sten/Ockl/Leio,Dräktig 0/x,Placentaärr,CA,CL,Dräktighetsstatus HELCOM,Postpartum dräktig HELCOM,Foster längd (cm) nossvans,Foster längd (cm) crownrump,
2023,28/08/2023,8,B2024/00898,1,Grey seal,Female,Hunt,Shot,I,EÖ,0,22/04/2024,50,144,25,Juvenile,,0,Juvenil,Nej,Nej,Juvenil,Juvenil,,,
2023,28/08/2023,8,B2024/00906,6,Grey seal,Female,Hunt,Shot,I,EÖ,0,23/04/2024,,170,35,Parous,,x,Nej,Nej,Ja,Dräktig,Ej PP tecken (kvar),17.5,,
2023,28/08/2023,8,B2024/00905,5,Grey seal,Female,Hunt,Shot,I,EÖ,0,23/04/2024,,165,40,Parous,,x,Nej,Nej,Ja,Dräktig,Ej PP tecken (kvar),12,,
2023,29/08/2023,8,B2024/00904,19,Grey seal,Male,Hunt,Shot,I,EÖ,0,23/04/2024,,187,40,,,,,,,,,,,
2023,29/08/2023,8,B2024/00903,5,Grey seal,Female,Hunt,Shot,I,EÖ,0,23/04/2024,,145,50,Juvenile,,0,Nej,Nej,Ja,Ej dräktig,Juvenil,,,
2023,28/08/2023,8,B2024/00902,6,Grey seal,Female,Hunt,Shot,I,EÖ,0,23/04/2024,,172,50,Parous,,x,Nej,Nej,Ja,Dräktig,Ej PP tecken (kvar),20.5,,
2021,18/12/2021,12,B2023/02680,19,Gråsäl,Hane,Funnen död,Tunntarmsomvridning,M,EÖ,x,01/03/2022,217,203,33,,,,,,,,,,,
2022,31/08/2022,8,B2023/02682,23,Gråsäl,Hona,Funnen död,"Kronisk grovtarmsinflammation orsakad av hakmask, närtintill utmärglad",X,BH,x,10/11/2022,74,186,12,Parous,,0,Nej,Nej,,Ej dräktig,,,,
2022,19/07/2022,7,B2023/02681,0,Gråsäl,Hane,Funnen död,Ej fastställd,H,EÖ,x,26/08/2022,36.8,121.5,19,,,,,,,,,,,
2023,2023-05-15,5,B2023/08005,0,Gråsäl,Hane,Funnen död,Ej lämpligt undersökningsmaterial,AB,EÖ,x,22/08/2023,13.2,91,9,,,,,,,,,,,
